year,spr_total_budget_m,spr_total_budget_source,ola_ppatch_combined_k,ola_only_k,ola_only_source,one_time_capital_k,capital_source,cycle,notes,provenance
2016,156,Seattle 2016 adopted budget book,100,100,SPR public statement / Parkways blog,0,,Cycle 1,OLA and maintaining-parks BSL aligned in Cycle 1 — public statement of $100K/yr OLA-only,sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book
2017,163,Seattle 2017 adopted budget book,100,100,SPR public statement,0,,Cycle 1,Operating-only figure for SPR total,sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book
2018,168,Seattle 2018 adopted budget book,100,100,SPR public statement (Cycle 1 OLA improvement),0,,Cycle 1,$168M SPR total widely cited for 2018,sourced: OLA-only from SPR public statement or Parkways coverage; SPR total from budget book
2019,247.7,Seattle 2019 actuals (all funds),160.8,,,0,,Cycle 1,Combined OLA+P-Patch Maintaining Parks BSL begins to be reported jointly,sourced: SPR total from budget book; OLA+P-Patch combined from Maintaining Parks & Facilities BSL; OLA-only split not published post-2018
2020,261.9,Seattle 2020 adopted budget,338.0,,,0,,Cycle 1,Combined only — OLA/P-Patch split not broken out,sourced: SPR total from budget book; OLA+P-Patch combined from Maintaining Parks & Facilities BSL; OLA-only split not published post-2018
2021,228.1,Seattle 2021 proposed budget,322.912,,,0,,Cycle 1,COVID-reduced SPR budget,"combined OLA+P-Patch (BC-PR-50000) = 2021 ACTUAL $322,912, 2023-Adopted budget book (PRR C265589); supersedes earlier 2021-proposed $346.7K"
2022,287.7,"Seattle 2023-Adopted/2024-Endorsed budget book (PRR C265589), 2022 Adopted column",355.347,,,0,,Cycle 1,"2022 OLA+P-Patch (BC-PR-50000) $355,347 and SPR total $287.7M now available from the 2023-Adopted budget book (PRR C265589); fills prior gap","combined OLA+P-Patch (BC-PR-50000) = 2022 ADOPTED $355,347; SPR total = 2022 ADOPTED $287.7M; both from 2023-Adopted/2024-Endorsed budget book (PRR C265589)"
2023,328.2,Seattle 2023-24 proposed budget,569.561,126,Parkways blog / Seattle Times 2023-24 coverage,0,,Cycle 2,OLA-only portion reported as $126K for Cycle 2 year 1,"combined OLA+P-Patch (BC-PR-50000) = 2023 ADOPTED $569,561, 2023-Adopted budget book (PRR C265589); supersedes earlier 2023-proposed $475.1K"
2024,320.7,Seattle 2023-24 proposed budget,584.343,129,Parkways blog / Seattle coverage,1730,Seattle Park District Cycle 2 — W Seattle Stadium + Othello design,Cycle 2,Cycle 2 one-time capital begins (total $3.46M across 2024-2026 for 2 new OLAs + design of third),"combined OLA+P-Patch (BC-PR-50000) = 2024 ENDORSED $584,343, 2024-Endorsed budget book (PRR C265589); supersedes earlier 2024-proposed $614.3K"
2025,339.4,Seattle 2025-26 proposed budget,1829.7,,,1730,Seattle Park District Cycle 2 — W Seattle Stadium + Othello construction,Cycle 2,OLA/P-Patch combined BSL jumps to $1.83M — OLA-only portion not broken out post-2024,combined OLA+P-Patch (BC-PR-50000) = $1.83M from Seattle 2025-26 PROPOSED budget book; no adopted figure on file yet
2026,506.9,Seattle 2025-26 proposed budget + 2026-2031 CIP,1845.7,,,0,,Cycle 2,SPR $125M GF + $87.7M CIP + $294M Park District,combined OLA+P-Patch (BC-PR-50000) = $1.85M from Seattle 2025-26 PROPOSED budget + 2026-31 CIP; proposed only
